Product_ID	Product_id_LAST	is_in_catalog	value
474	474	0	
476	62237	0	"Alto Adige Chardonnay ""Cardellino"" 2018 - Elena Walch"
477	81049	0	"Alto Adige Riesling DOC ""Castel Ringberg"" 2019 - Elena Walch"
478	85663	0	"Alto Adige Gewürztraminer DOC ""Kastelaz"" 2019 - Elena Walch"
479	53922	0	"Alto Adige Pinot Nero ""Ludwig"" 2016 - Elena Walch"
480	53960	0	"Alto Adige Bianco ""Beyond the Clouds"" 2017 - Elena Walch"
482	28153	0	Venezia Giulia Sauvignon IGT 2016 - Casa Riz
483	44412	0	Venezia Giulia Ribolla Gialla IGT 2017 - Casa Riz
484	18650	0	Venezia Giulia Chardonnay IGT 2015 - Casa Riz
485	28152	0	Venezia Giulia Traminer IGT 2016 - Casa Riz
489	489	0	
491	491	0	
492	492	0	
493	493	0	
494	494	0	
495	495	0	
497	7205	0	"Toscana Bianco IGT ""Chiarofiore"" 2012 - Tunia"
499	4413	0	"Colli Orientali del Friuli DOC ""Plus"" 2011 - Bastianich"
500	56612	0	"Colli Orientali del Friuli DOC ""Vespa Bianco"" 2016 - Bastianich"
501	50510	0	Colli Orientali del Friuli DOC Friulano 2017 - Bastianich
502	43351	0	Colli Orientali del Friuli DOC Sauvignon 2017 - Bastianich
503	43346	0	Colli Orientali del Friuli DOC Ribolla Gialla 2017 - Bastianich
505	505	0	
506	506	0	
507	507	0	
510	43563	0	"Vermentino di Gallura Superiore DOCG ""Renabianca"" 2017 - Li Duni"
511	55459	0	"Isola dei Nauraghi Rosso IGT ""Nalboni"" 2016 - Li Duni"
512	25775	0	"Isola dei Nauraghi Rosso IGT ""Tajanu"" 2011 - Li Duni"
513	66464	0	"Vermentino di Sardegna Amabile DOC ""Nozzinnà"" 2018 - Li Duni"
515	515	0	
516	516	0	
517	517	0	
518	518	0	
520	523	0	"Barbera del Monferrato Superiore DOC ""Cantico della Crosia"" 2007 - Vicara"
521	7287	0	"Barbera del Monferrato Superiore DOCG ""Cantico della Crosia"" 2011 - Vicara"
523	523	0	
525	91349	0	"Barbera del Monferrato DOC ""Volpuva"" 2019 - Vicara"
526	6342	0	"Monferrato Bianco DOC ""Airales"" 2013 - Vicara"
527	62332	0	"Grignolino del Monferrato Casalese DOC "".G"" 2018 - Vicara"
529	74142	0	Cannonau di Sardegna DOC 2019 - Pusole
530	11623	0	Rosso di Montalcino DOC 2014 - Val di Suga
531	531	0	
532	11662	0	"Brunello di Montalcino DOCG ""Vigna Spuntali"" 2011 - Val di Suga"
534	534	1	
535	535	1	
536	536	1	
537	12815	0	Franciacorta DOCG Cellarius Brut 2011 - Berlucchi
539	539	0	
540	540	0	
541	11617	0	"Collio Ribolla Gialla DOC ""LUS"" 2014 - Puiatti"
542	11616	0	"Collio Friulano DOC ""VUJ"" 2014 - Puiatti"
545	545	0	
547	2467	0	"Chianti Classico Riserva DOCG ""Monsenese"" 2010 - San Leonino"
548	548	0	
550	550	0	
551	551	0	
552	552	0	
553	553	0	
555	555	0	
556	556	0	
557	557	0	
558	558	0	
559	559	0	
560	560	0	
562	70213	0	Custoza DOC 2019 - Cavalchina
563	563	0	
564	70212	0	Bardolino Chiaretto DOC 2019 - Cavalchina
565	54086	0	Bardolino DOC 2018 - Cavalchina
566	566	0	
571	571	0	
572	572	0	
573	573	0	
575	575	0	
576	94483	0	"Vino Spumante Brut ""Grave di Stecca"" 2015 - Nino Franco"
577	577	0	
578	77232	0	Valdobbiadene Prosecco Superiore DOCG Brut “Vigneto della Riva di San Floriano” 2019 - Nino Franco
584	584	0	
585	585	0	
586	586	0	
587	587	0	
588	588	0	
590	590	0	
591	591	0	
592	592	0	
593	593	0	
594	594	0	
595	595	0	
596	596	0	
598	731	0	"Oltrepò Pavese Pinot Nero Riserva DOC ""Rile Nero"" 2009 - Marchese Adorno"
599	599	0	
601	601	0	
602	602	0	
603	603	0	
604	604	0	
605	605	0	
607	607	0	
608	608	0	
609	609	0	
610	610	0	
611	611	0	
612	612	0	
613	613	0	
615	615	0	
616	616	0	
618	618	0	
619	619	0	
620	11620	0	"Vino Nobile di Montepulciano DOCG ""Simposio"" 2010 - Tre Rose"
622	11101	0	Vigneti delle Venezie IGT Frühroter Veltliner 2012 - Alfio Nicolodi
623	5811	0	Trentino Müller Thurgau Doc 2012 - Alfio Nicolodi
624	8155	0	Vigneti delle Dolomiti IGT Pinot Nero 2014 - Pojer e Sandri
625	625	0	
626	626	0	
627	627	0	
630	630	0	
631	631	0	
632	632	0	
633	942	0	"Friuli Refosco dal Peduncolo Rosso DOC ""Villa Vitas"" 2012 - Villa Vitas"
634	634	0	
635	635	0	
638	638	0	
639	639	0	
640	640	0	
642	62607	0	Trentino Chardonnay DOC 2018 - Zanotelli
643	59546	0	Trentino Müller Thurgau DOC 2018 - Zanotelli
644	25599	0	Vigneti delle Dolomiti Manzoni Bianco IGT 2013 - Zanotelli
645	39037	0	Trentino Pinot Nero DOC 2016 - Zanotelli
647	51638	0	"Alto Adige Sauvignon DOC ""Lafóa"" 2017 - Colterenzio"
648	15257	0	"Alto Adige Gewürztraminer DOC ""Atisis"" 2014 - Cornell/Colterenzio"
649	87016	0	"Alto Adige Pinot Nero DOC ""Villa Nigra"" 2017 - Colterenzio"
650	69970	0	"Alto Adige Lagrein DOC ""Sigis Mundus"" 2017 - Colterenzio"
651	42744	0	"Alto Adige Sauvignon DOC ""Prail"" 2017 - Colterenzio"
652	15252	0	"Alto Adige Moscato Giallo DOC ""Sand"" 2015 - Praedium/Colterenzio"
653	87738	0	"Alto Adige Merlot DOC ""Siebeneich"" Riserva 2018 - Colterenzio"
655	655	0	
656	656	0	
657	657	0	
658	658	0	
659	659	0	
662	662	0	
663	94900	0	"Prosecco DOC ""Il Fresco"" Extra Dry 2020 - Villa Sandi"
664	664	0	
665	665	1	
666	666	0	
668	668	0	
669	669	0	
670	670	0	
671	671	0	
672	672	0	
673	673	0	
675	675	0	
676	676	0	
677	677	0	
678	678	0	
679	679	0	
681	681	0	
682	22608	0	"Toscana IGT ""Guidalberto"" 2015 - Tenuta San Guido"
683	25571	0	"Toscana IGT ""Le Difese"" 2015 - Tenuta San Guido"
684	58035	0	"Colli Orientali del Friuli  ""Biancosesto"" 2017 - La Tunella"
685	39178	0	Colli Orientali del Friuli Schioppettino DOC 2015 - La Tunella
686	3022	0	Colli Orientali del Friuli Pignolo DOC 2008 - La Tunella
687	43281	0	"Colli Orientali del Friuli Rosso DOC ""L'Arcione"" 2013 - La Tunella"
688	40540	0	Colli Orientali del Friuli Sauvignon DOC 2017 - La Tunella
689	75487	0	"Colli Orientali del Friuli Bianco DOC ""Valmasia"" 2019 - La Tunella"
690	75488	0	Colli Orientali del Friuli Friulano DOC 2019 - La Tunella
691	55598	0	"Colli Orientali del Friuli Bianco  ""Rjgialla"" 2018 - La Tunella"
692	692	0	
693	693	0	
694	80297	0	Montepulciano d'Abruzzo DOC 2019 - Cirelli
695	58507	0	Trebbiano d'Abruzzo DOC 2018 - Cirelli
696	46071	0	Cerasuolo d'Abruzzo DOC 2017 - Cirelli
697	56004	0	"Vino Bianco Frizzante ""330 s.l.m."" 2018 - Costadilà (Tappo a corona)"
698	49966	0	"Bianco Frizzante dei Colli Trevigiani IGT ""280 s.l.m."" 2017 - Costadilà (tappo a corona)"
699	2536	0	Colli Trevigiani Rosso IGT 2011 - Costadilà
703	703	0	
705	705	0	
706	706	0	
707	707	0	
708	708	0	
709	709	0	
710	710	0	
712	73899	0	"Fiano di Avellino DOCG ""Pietracalda"" 2019 - Feudi di San Gregorio"
713	43923	0	"Greco di Tufo DOCG ""Cutizzi"" 2017 - Feudi di San Gregorio"
714	42140	0	"Falanghina del Sannio DOC ""Serrocielo"" 2017 - Feudi di San Gregorio"
715	18893	0	"Irpinia Aglianico DOC "" Aglianico Dal Re"" 2015 - Feudi di San Gregorio"
716	53091	0	"Irpinia Bianco DOC ""Campanaro"" 2017 - Feudi di San Gregorio"
717	56772	0	"Campania Rosso IGT ""Pàtrimo"" 2015 - Feudi di San Gregorio"
718	82946	0	"Irpinia Aglianico DOC ""Serpico"" 2014 - Feudi di San Gregorio"
719	47576	0	"Taurasi Riserva DOCG ""Piano di Montevergine"" 2012 - Feudi di San Gregorio"
720	25686	0	"Taurasi DOCG ""Taurasi"" 2012 - Feudi di San Gregorio"
721	102061	0	"Campania Rosso IGT ""Sirica"" 2018 - Feudi di San Gregorio"
724	99389	0	"Sforzato della Valtellina DOCG ""Albareda"" 2017 - Mamete Prevostini "
725	23086	0	Inferno Valtellina Superiore DOCG 2014 - Mamete Prevostini 
726	63234	0	Sassella Valtellina Superiore DOCG 2016 - Mamete Prevostini
727	64188	0	Grumello Valtellina Superiore DOCG 2016 - Mamete Prevostini
728	91085	0	"Valtellina Superiore Sassella DOCG ""San Lorenzo"" 2017 - Mamete Prevostini"
729	63235	0	"Sforzato di Valtellina DOCG ""Corte di Cama"" 2016 - Mamete Prevostini"
730	730	0	
731	731	0	
732	12170	0	"Lambrusco dell'Emilia IGP ""Ponente 270"" 2013 - Podere Cipolla, Denny Bini"
733	733	0	
734	12171	0	"Lambrusco dell'Emilia IGT ""Rosa dei Venti"" 2014 - Podere Cipolla, Denny Bini"
735	12172	0	"Lambrusco dell'Emilia IGT ""Libeccio 225"" 2013 - Podere Cipolla, Denny Bini"
736	736	0	
742	742	0	
743	743	0	
744	744	1	
745	745	1	
747	11479	0	Erbaluce di Caluso DOCG 2013 - Dazero
748	11480	0	Canavese Nebbiolo DOC 2013 - Dazero
749	749	0	
751	751	0	
752	752	0	
753	753	0	
754	55600	0	"Alto Adige Kaltersee Classico Superiore DOC ""Castel Ringberg"" 2017 - Elena Walch"
755	53922	0	"Alto Adige Pinot Nero ""Ludwig"" 2016 - Elena Walch"
756	756	0	
757	757	1	
758	758	0	
759	759	0	
760	760	0	
761	76876	0	"Terre Siciliane Bianco IGT ""SP68"" 2019 - Arianna Occhipinti"
762	76877	0	"Terre Siciliane Rosso IGT ""SP68"" 2019 - Arianna Occhipinti"
763	62588	0	"Terre Siciliane Frappato  ""Il Frappato"" 2017 - Arianna Occhipinti"
764	13472	0	"Cerasuolo di Vittoria Classico DOCG ""Grotte Alte"" 2012 - Arianna Occhipinti"
765	72886	0	"Terre Siciliane IGT ""Siccagno"" 2017 - Arianna Occhipinti"
766	13473	0	"Terre Siciliane Passito IGT ""Passo Nero"" 2013 - Arianna Occhipinti (0.5l)"
769	941	0	"Oltrepò Pavese Pinot Nero DOC ""Le Foglie"" 2012 - Calatroni"
770	770	0	
771	771	0	
772	772	0	
773	773	0	
776	776	0	
777	55452	0	"Vermentino di Sardegna ""Giunco"" 2018 - Mesa"
778	62234	0	"Vermentino di Sardegna DOC ""Opale"" 2018 - Mesa"
779	41455	0	"Isola dei Nuraghi Bianco ""Opale Dopo"" 2015 - Mesa"
780	55453	0	"Carignano del Sulcis Rosato DOC ""Rosa Grande"" 2018 - Mesa"
781	42065	0	"Carignano del Sulcis ""Buio"" 2017 - Mesa"
782	62233	0	Carignano del Sulcis Riserva DOC ''Buio Buio'' 2016 - Mesa
783	70199	0	"Cannonau di Sardegna DOC ""Moro"" 2019 - Cantina Mesa"
784	24102	0	"Isola dei Nuraghi Rosso IGT ""Malombra"" 2013 - Mesa"
786	786	0	
